Choice ,Score,question_id
Bulbasaur,0,1
Squirtle,-1,1
Charmander,1,1
eeeeeeeeeees,0,2
urrito,1,2
WTF?,-1,2
Define rain,1,3
Dry as a desert,-1,3
Like a hurricane,1,3
Glass half full,1,4
Glass half empty,-1,4
A full glass,1,4
"I am the snow queen, or king.",-1,5
I like it HOT HOT HOT!,1,5
They call me mellow yellow.,0,5
"My life got flipped, turned upside down ",1,6
And I'd like to take a minute just sit right there ,0,6
I'll tell you how I became the prince of a town called Bel-air ,-1,6
12.15,1,7
7.35,0,7
3.25,-1,7
The Next Generation,1,8
Deep Space Nine,0,8
Voyager,-1,8
Red,1,9
Yellow,0,9
Green,-1,9
Hummingbird,1,10
Human,0,10
Fee Fi Fo Fum,-1,10
